path	lines	last_commit_iso	commits_24m
includes/admin/pages/class-ads.php	105	2026-02-14T19:00:36+05:00	5
includes/admin/pages/class-dashboard.php	100	2026-02-14T19:00:36+05:00	5
includes/admin/pages/class-settings.php	89	2026-02-14T19:00:36+05:00	5
includes/ads/class-ad-group.php	49	2026-02-03T02:45:12+03:00	5
includes/importers/class-google-sheet.php	365	2026-02-03T18:43:20+03:00	5
includes/importers/class-manager.php	234	2025-05-06T09:57:18+03:00	5
modules/gadsense/includes/class-ad-type-adsense.php	394	2026-02-10T00:30:22+05:00	5
modules/privacy/classes/class-privacy.php	272	2025-05-19T20:27:29+05:30	5
tests/Unit/Groups/CRUDTest.php	126	2026-04-14T19:05:42+03:00	5
tests/Unit/Groups/FactoryTest.php	126	2026-04-14T19:05:42+03:00	5
tests/Unit/Groups/TypesTest.php	85	2026-04-14T19:05:42+03:00	5
tests/Unit/Utilities/WordPressTest.php	30	2026-04-14T19:05:42+03:00	5
views/admin/bulk-edit.php	74	2026-02-18T17:01:53+05:00	5
views/admin/metaboxes/ads/ad-layout.php	108	2025-02-05T13:56:55+05:30	5
views/admin/support/page.php	40	2026-03-16T22:41:06+03:00	5
views/admin/tools/import-history.php	59	2025-02-10T11:54:05+01:00	5
includes/abstracts/abstract-types.php	194	2026-02-17T05:42:56+05:00	4
includes/admin/class-authors.php	195	2025-02-24T12:27:39+01:00	4
includes/admin/class-misc.php	279	2025-03-27T14:45:21+03:00	4
includes/admin/class-plugin-installer.php	110	2025-01-16T15:31:57+03:00	4
includes/admin/class-screen-options.php	190	2026-02-17T05:42:56+05:00	4
includes/admin/groups/class-list-table.php	358	2026-03-26T13:31:04+03:00	4
includes/ads/class-ad-factory.php	123	2026-02-16T21:27:17+05:00	4
includes/ads/class-ad-plain.php	82	2025-02-24T12:27:39+01:00	4
includes/class-content-injector.php	833	2026-04-16T18:48:30+03:00	4
includes/frontend/class-ad-renderer.php	76	2024-11-20T13:23:28+03:00	4
includes/importers/class-ads-wp-ads.php	492	2026-03-05T02:16:22+03:00	4
includes/importers/class-amp-wp-ads.php	1142	2026-04-06T17:02:01+03:00	4
includes/importers/class-tutorials.php	115	2025-02-26T10:53:27+01:00	4
includes/installation/class-uninstall.php	176	2025-01-06T13:19:20+01:00	4
modules/adblock-finder/public/public.php	71	2025-05-19T20:27:29+05:30	4
modules/one-click/class-helpers.php	220	2025-01-14T12:23:21+01:00	4
modules/pef/main.php	18	2024-11-14T17:54:05+03:00	4
packages/advanced-ads/framework/src/class-updates.php	150	2025-12-25T16:21:07+03:00	4
packages/advanced-ads/framework/src/utilities/class-arr.php	242	2025-01-30T11:07:47+03:00	4
tests/Unit/Placements/FactoryTest.php	154	2026-04-14T19:05:42+03:00	4
tests/Unit/Placements/TypesTest.php	88	2026-04-14T19:05:42+03:00	4
upgrades/upgrade-2.0.0.php	134	2025-02-24T12:17:27+01:00	4
views/admin/header.php	46	2026-03-16T22:41:06+03:00	4
views/admin/metaboxes/ads/ad-types.php	68	2024-11-21T17:15:31+03:00	4
views/admin/quick-edit.php	58	2026-04-23T15:46:12+03:00	4
views/admin/screens/settings.php	58	2026-03-16T22:41:06+03:00	4
views/admin/support/articles.php	40	2026-03-16T22:41:06+03:00	4
views/admin/support/getting-started.php	41	2026-03-16T22:41:06+03:00	4
views/admin/support/latest-tutorials.php	40	2026-03-16T22:41:06+03:00	4
views/admin/support/need-help-paid.php	28	2026-03-16T22:41:06+03:00	4
views/admin/support/need-help.php	36	2026-03-16T22:41:06+03:00	4
views/admin/widgets/wordpress-dashboard/rss.php	17	2024-11-12T14:58:05+01:00	4
admin/includes/ad-health-notices.php	503	2025-02-07T10:55:13+01:00	3
admin/views/overview-notice-row.php	35	2025-02-07T10:55:13+01:00	3
assets/dist/advanced.asset.php	1	2026-03-05T01:22:44+03:00	3
assets/dist/commands.asset.php	1	2026-03-05T20:32:24+03:00	3
assets/dist/post-quick-edit.asset.php	1	2026-03-05T01:22:44+03:00	3
deprecated/ad.php	16	2024-06-04T09:55:49+02:00	3
deprecated/ad_placements.php	15	2024-06-04T09:55:49+02:00	3
includes/abstracts/abstract-factory.php	40	2025-03-20T17:33:45+03:00	3
includes/abstracts/abstract-screen.php	244	2026-02-14T19:00:36+05:00	3
includes/admin/class-edd-updater.php	759	2026-02-13T06:25:13+05:00	3
includes/admin/class-list-filters.php	551	2026-04-23T15:46:12+03:00	3
includes/admin/class-post-types.php	213	2026-03-08T11:41:46+03:00	3
includes/admin/class-upgrades.php	202	2025-02-26T09:37:25+01:00	3
includes/admin/placements/class-list-table.php	334	2026-02-18T01:42:35+05:00	3
includes/class-options.php	223	2024-07-29T13:17:04+03:00	3
includes/compatibility/class-compatibility.php	263	2025-06-24T11:09:47+05:30	3
includes/compatibility/class-peepso.php	221	2025-03-20T17:33:45+03:00	3
includes/crons/class-ads.php	93	2026-02-23T20:01:02+05:00	3
includes/default-hooks.php	15	2026-02-03T17:43:36+03:00	3
includes/functions-conditional.php	84	2024-06-04T09:55:49+02:00	3
includes/groups/class-group-factory.php	120	2024-07-24T00:17:58+03:00	3
includes/importers/class-ad-inserter.php	615	2026-03-05T00:26:27+03:00	3
includes/importers/class-quick-adsense.php	318	2025-02-06T14:17:38+03:00	3
includes/placements/class-placement-factory.php	121	2024-07-24T00:17:58+03:00	3
includes/placements/types/class-after-content.php	101	2026-02-17T05:42:56+05:00	3
includes/placements/types/class-before-content.php	101	2026-02-17T05:42:56+05:00	3
includes/placements/types/class-content.php	101	2026-02-17T05:42:56+05:00	3
includes/placements/types/class-footer.php	94	2026-02-17T05:42:56+05:00	3
includes/placements/types/class-header.php	94	2026-02-17T05:42:56+05:00	3
includes/placements/types/class-sidebar-widget.php	100	2026-02-17T05:42:56+05:00	3
includes/placements/types/class-standard.php	100	2026-02-17T05:42:56+05:00	3
includes/traits/class-wrapper.php	146	2026-02-03T02:45:12+03:00	3
includes/utilities/class-sanitize.php	82	2024-10-30T02:24:59+03:00	3
includes/utilities/class-validation.php	100	2024-06-04T09:55:49+02:00	3
